gp_id,gp_name,lang_name
732,Annigere,ಅಣ್ಣೀಗೆರೆ
733,Annigeri,ಕಣ್ಣಿಗೇರಿ
734,Annuru,ಅಣ್ಣೂರು
735,Anoor,ಆನೂರ
736,Antaragange,ಅಂತರಗಂಗೆ
737,Antaragatta,ಆರಗ
738,Antarvalli,ಅಂತರವಳ್ಳಿ
739,Anthapura,ಅಂತಾಪುರ
740,Anthara santhe,ಅಂತರಸಂತೆ
741,Antur-bentur,ಅಂತುರ
742,Anughatta,ಅನುಘಟ್ಟ
743,Anugondanahalli,ಅನುಗೊಂಡಹಳ್ಳಿ
744,Anur,ಆಣೂರು
745,Anuvanahalli,ಅನುವನಹಳ್ಳಿ
746,Anvari,ಅನ್ವರಿ
747,Anwar,ಅಣವಾರ
748,Apachiwadi,ಅಪ್ಪಾಚಿವಾಡಿ
749,Appayyanahalli,ಅಪ್ಪಯ್ಯನಹಳ್ಳಿ
750,Arabagatte,ಅರಬಗಟ್ಟಿ
751,Arabhavi,ಮದಭಾವಿ
752,Arabikothanur,ಅರಾಭಿಕೋತ್ತನೂರು
753,Arabilachi,ಅರಬಿಳಚಿ
754,Araga,ಆರಗ
755,Arahalli,ಅರಹಳ್ಳಿ
756,Arahatholalu,ಅರಹತೊಳಲು
757,Arakalavadi,ಅರಕಲವಾಡಿ
758,Arakere,ಅರಕೆರೆ
759,Arakeri,ಅರಕೇರಿ
760,Arala,ಅರಳ
761,Aralagodu,ಅರಲಗೋಡು
762,Aralaguppe,ಅರಳಗುಪ್ಪೆ
763,Aralakuppe,ಅರಳಕುಪ್ಪೆ
764,Aralasurali,ಅರಳಸುರಳಿ
765,Araleri,ಅರಳೇರಿ
766,Aralgundagi 33,ಗುಂಡಾ
767,Aralihalli,ಅರಳಿಹಳ್ಳಿ
768,Aralihatti,ಅರಳಿಹಟ್ಟಿ
769,Aralikatti,ಅರಳಿಕಟ್ಟಿ
770,Aralikoppa,ಅರಳಿಕೊಪ್ಪ
771,Aralu mallige,ಅರಳುಮಲ್ಲಿಗೆ
772,Aramanekoppa,ಅರಮನೆಕೊಪ್ಪ
773,Arambody,ಆರಂಬೋಡಿ
774,Arani,ಆರಣಿ
775,Arankal,ಅರಣಕಲ
776,Aranthodu,ಅರಂತೋಡು
777,Arasalu,ಅರಸಾಳು
778,Arasapura,ಅರಸಾಪುರ
779,Arashanagi,ಅರಷಣಗಿ
780,Arasikere,ಅರಸೀಕೆರೆ
781,Arasikere muncipalty,ಕೆರೆ
782,Arasinagere,ಅರಿಶಿನಗೆರೆ
783,Arasinamakki,ಅರಸಿನಮಕ್ಕಿ
784,Aratgal,ಅಟಱಗಲ್‌
785,Aravatgi,ಅರವಟಗಿ
786,Arebommanahalli,ಅರೇಬೊಮ್ಮನಹಳ್ಳಿ
787,Aregujjanahalli,ಅರೆಗುಜ್ಜನಹಳ್ಳಿ
788,Arehalli,ಅರೇಹಳ್ಳಿ
789,Arehally,ಅರೇಹಳ್ಳಿ
790,Arekattedoddi,ಅರೆಕಟ್ಟೆದೊಡ್ಡಿ
791,Arekere,ತಾವರೆಕೆರೆ
792,Aremallapur,ಅರೇಮಲ್ಲಾಪುರ
793,Aremallenahalli,ಅರೆಮಲ್ಲೇನಹಳ್ಳಿ
794,Areyur,ಅರಿಯೂರು
795,Arikunte,ಅರಿಕುಂಟೆ
796,Arishinakunte,ಅರಿಸಿನ ಕುಂಟೆ
797,Ariyadka,ಅರಿಯಡ್ಕ
798,Arjunagi,ಅಜುಱಣಗಿ
799,Arjunagi b.k,ಅರ್ಜುಣಗಿ ಬಿ.ಕೆ.
800,Arjunahalli,ಅರ್ಜುನಹಳ್ಳಿ
801,Arkera,ಅರಕೇರ
802,Arkera (b),ಅರಕೇರಾ (ಬಿ)
803,Arkera (j),ಆರಕೇರಾ (ಜೆ)
804,Arkera (k),ಅರಕೇರಾ. ಕೆ.
805,Arlawada,ಅರ್ಲವಾಡ
806,Arleshwar,ಅರಳೇಶ್ವರ
807,Aroli,ಅರೂಲಿ
808,Aroodi,ಆರೂಢಿ
809,Artal,ಅರಟಾಳ
810,Aruru,ಕರೂರು
811,Arvathoklu,ಅವಱತ್ತೊಕ್ಲು
812,Aryapu,ಆರ್ಯಾಪು
813,Asagodu,ಅಸಗೋಡು
814,Asandu,ಅಸಂದು
815,Asangi,ಆಸಂಗಿ
816,Aski,ಅಸ್ಕಿ
817,Asnoti,ಅಸ್ನೋಟಿ
818,Aspathre kaval,ಆಸ್ಪತ್ರೆಕಾವಲ್‌
819,Aste,ಮಾಸ್ತೇನಹಳ್ಳಿ
820,Astoor,ಅಷ್ಟೂರ
821,Asu,ಅಸು
822,Asundi,ಆಸುಂಡಿ
823,Asuti,ಅಸುಟಿ
824,Athagooru,ಸಾತನೂರು
825,Athakur,ಆತಕೂರ್
826,Atharga,ಅಟ್ಟರಗಾ
827,Athikaribettu,ಅತಿಕಾರಿಬೆಟ್ಟು
828,Athradi,ಆತ್ರಾಡಿ
829,Atnoor,ಆತನೂರ
830,Atta halli,ಅತ್ತಹಳ್ಳಿ
831,Attanur,ಆಣೂರು
832,Attarga,ಅಟ್ಟರಗಾ
833,Attavarahosahally,ವಾಟದಹೊಸಹಳ್ಳಿ
834,Attibele,ಅತ್ತಿಬೆಲೆ
835,Attigere,ಅತ್ತಿಗೆರೆ
836,Attigeri,ಅತ್ತಿಗೇರಿ
