gpid,designation,name
2624,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಮೂರ್ತಿ. ಸಿ
2339,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಲಕ್ಷ್ಮೀ ದೇವಮ್ಮ 
2339,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ತಿಪ್ಪಯ್ಯ
2339,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಲಕ್ಷ್ಮೀ ನಾರಾಯಣ. ಟಿ 
2339,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರವಿತೇಜ
2339,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ವಿನಯ್. ಎಚ್
5302,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಸುದರ್ಶನರೆಡ್ಡಿ 
5302,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಈರೇಗೌಡ 
5302,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ಶಿವಕುಮಾರ್ 
5302,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಬಾಲಪ್ಪ. ಎನ್ 
5302,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಹರೀಶ್. ಎಸ್.ವಿ
3161,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ನಾಗರಾಜ. ಸಿ 
3161,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಕರಿಯಪ್ಪ. ಪಿ 
3161,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ರಾಜೇಶ್. ವಿ 
3161,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶ್ರೀರಾಮ್. ಕೆ.ಆರ್
3161,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರಘುರಾಮ್
1252,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಕೃಷ್ಣಪ್ಪ 
1252,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಮುನಿಯೋಜಿರಾವ್. ಜೆ 
1252,ಕ್ಷೇತ್ರ ಸಂಪನ್ಮೂಲ ವ್ಯಕ್ತಿ,ರಘುರಾಮ್. ವಿ 
1252,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಮೂರ್ತಿ. ಬಿ. ಎಂ
1252,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ವೇದಾಂತ. ಬಿ.ಎಸ್
596,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ರುಕ್ಮೀಣಮ್ಮ
596,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಶೈಲ. ಎ
596,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ನರಸಿಂಹಮೂರ್ತಿ. ಎ
596,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ವೆಂಕಟೇಶಪ್ಪ
861,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಚಂದ್ರಕಳ. ಬಿ.ವಿ 
861,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಗೋವಿಂದಪ್ಪ. ಬಿ.ವಿ 
861,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಆಶಾ. ಡಿ
861,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಶಿಲ್ಪ. ಡಿ.ಎನ್ 
4650,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಸರಸ್ವತಮ್ಮ 
4650,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಮಲ್ಲಿಕಾರ್ಜುನ ಸ್ವಾಮಿ 
4650,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರವಿಕುಮಾರ. ಎಸ್
4650,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಮಹೇಶ್. ಎನ್ 
2002,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ವೆಂಕಟೇಶ. ಸಿ 
2002,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಈರೇಗೌಡ 
2002,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಅಶ್ವತ್ಥನಾರಾಯಣ
2002,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ಚಂದ್ರಪ್ಪ
6639,ಗ್ರಾಮ ಪಂಚಾಯತಿ ಅಧ್ಯಕ್ಷರು,ಮೀನಪ್ಪ. ಬಿ.ಜಿ 
6639,ಗ್ರಾಮ ಪಂಚಾಯತಿ  ಅಭಿವೃದ್ಧಿ ಅಧಿಕಾರಿಗಳು,ಮೀನಾಕ್ಷಿ. ಕೆ 
6639,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ರಘುನಾಥ
6639,ಗಣಿತ ಸ್ಪರ್ಧಾ ತಂಡದ ನಾಯಕ,ತಿಮ್ಮರಾಜು 
