SCHCD|LatitudeDeg|LatitudeMin|LatitudeSec|LongitudeDeg|LongitudeMin|LongitudeSec
21150416101||||||
21150416301||||||
21150416401||||||
21150416403||||||
21150416601||||||
21150416701||||||
21150416801||||||
21150416903||||||
21150417001||||||
21150417101||||||
21150417302||||||
21150417303||||||
21150417304||||||
21150417401||||||
21150417402|||0|||
21150417403||||||
21150417404||||||
21150417405||||||
21150417407||||||
21150417408||||||
21150417502||||||
21150417503||||||
21150417504||||||
21150417505||||||
21150417506||||||
21150417507||||||
21150417508||||||
21150417602|0|||||
21150417603||||||
21150417801||||||
21150418002||||||
21150418201||||||
21150418302||||||
21150418303||||||
21150418401||||||
21150418402||||||
21150418501||||||
21150418701||||||
21150418801||||||
21150418901||||||
21150419001||||||
21150419004||||||
21150419005||||||
21150419006||||||
21150419007||||||
21150419101||||||
21150419103||||||
21150500102||||||
21150500103||||||
21150500201||||||
21150500401||||||
21150500501||||||
21150500601||||||
21150500602||||||
21150500603||||||
21150500604||||||
21150500605||||||
21150500801||||||
21150500901||||||
21150501001||||||
21150501201||||||
21150501501||||||
21150501502||||||
21150501601||||||
21150501701||||||
21150501801||||||
21150501901||||||
21150502101||||||
21150502201||||||
21150502202||||||
21150502203||||||
21150502204||||||
21150502205||||||
21150502601||||||
21150502801||||||
21150503001||||||
21150503501||||||
21150503601||||||
21150503602||||||
21150503901||||||
21150504201||||||
21150504301||||||
21150504401||||||
21150504501||||||
21150504601||||||
21150504801||||||
21150504901||||||
21150505001||||||
21150505002||||||
21150505301||||||
21150505401||||||
21150505501||||||
21150505801||||||
21150505901||||||
21150505902||||||
21150505903||||||
21150505904||||||
21150505905||||||
21150506101||||||
21150506401||||||
21150506402||||||
21150506501||||||
21150506601||||||
21150507301||||||
21150507601||||||
21150507701||||||
21150507801||||||
21150507901||||||
21150508101||||||
21150508201||||||
21150508401||||||
21150508601||||||
21150508701||||||
21150508901||||||
21150509002||||||
21150509101||||||
21150509201||||||
21150509401||||||
21150509601||||||
21150509602||||||
21150509603||||||
21150509701||||||
21150509901||||||
21150510101||||||
21150510102||||||
21150510301||||||
21150510501||||||
21150510502||||||
21150510503||||||
21150510601||||||
21150510701||||||
21150510702||||||
21150510703||||||
21150510704||||||
21150510705||||||
21150510801||||||
21150510802||||||
21150510901||||||
21150511001||||||
21150511101||||||
21150511102||||||
21150511103||||||
21150511201||||||
21150511202||||||
21150511701||||||
21150511801||||||
21150511901||||||
21150511902||||||
21150511904||||||
21150512001||||||
21150512101||||||
21150512201||||||
21150512301||||||
21150512401||||||
21150512501||||||
21150512502||||||
21150512601||||||
21150512701||||||
21150512702||||||
21150512801||||||
21150513301||||||
21150513401||||||
21150513501||||||
21150513601||||||
21150513701||||||
21150513901||||||
21150513902||||||
21150514101||||||
21150514201||||||
21150514501||||||
21150514502||||||
21150514701||||||
21150514901||||||
21150515001||||||
21150515201||||||
21150515401||||||
21150515501||||||
21150515601||||||
21150515701||||||
21150516101||||||
21150516501||||||
21150516502|21|5|77|85|3|46
21150516601||||||
21150516602||||||
21150516701||||||
21150516801||||||
21150517101||||||
21150517201||||||
21150517202||||||
21150517501||||||
21150517601||||||
21150517901||||||
21150517902||||||
21150517903||||||
21150517905||||||
21150518001||||||
21150518201||||||
21150518501||||||
21150518601||||||
21150518602||||||
21150518603||||||
21150518801||||||
21150518901||||||
21150519001||||||
21150519002||||||
21150519201||||||
21150519301||||||
21150519501||||||
21150519502||||||
21150519503||||||
21150519601||||||
21150519801||||||
21150519802||||||
21150519803||||||
21150519901||||||
21150520001||||||
21150520101||||||
21150520202||||||
21150520203||||||
21150520204||||||
21150520602||||||
21150520701||||||
21150521301||||||
21150521401||||||
21150521402||||||
21150521403||||||
21150521501||||||
21150521801||||||
21150522001||||||
21150522401||||||
21150522501||||||
21150522602||||||
21150522603||||||
21150522901||||||
21150523101||||||
21150523301||||||
21150523302||||||
21150523402||||||
21150523501||||||
21150523503||||||
21150523701||||||
21150523801||||||
21150523802||||||
21150600101|20|58|26|84|36|50
21150600102||||||
21150600103||||||
21150600201||||||
21150600601||||||
21150600801||||||
21150601001||||||
21150601002||||||
21150601601||||||
21150601603||||||
21150601604|20|31|37|84|43|3
21150601701||||||
21150601901||||||
21150602102||||||
21150602201||||||
21150602301||||||
21150602401||||||
21150602402||||||
21150602403|21|20|9|81|10|1
21150602472||||||
21150602473||||||
21150602601||||||
21150602602||||||
21150602701||||||
21150602902||||||
21150603001||||||
21150603101||||||
21150603401||||||
21150603901||||||
21150604201||||||
21150604301||||||
21150604402||||||
21150604403||||||
21150604501||||||
21150604601||||||
21150604801||||||
21150605101|20|57|9|84|32|33
21150605201|20|55|37|84|31|22
21150605301||||||
21150605401|20|55|52|84|32|26
21150605501|20|56|33|84|30|39
21150605601|20|55|40|84|32|10
21150605701|20|55|7|84|32|27
21150606001||||||
21150606201||||||
21150606203||||||
21150606401||||||
21150606501||||||
21150606502||||||
21150606601||||||
21150606851||||||
21150606901||||||
21150607001||||||
21150607101||||||
21150607201||||||
21150607401||||||
21150607501||||||
21150607702||||||
21150607801||||||
21150608201||||||
21150608202||||||
21150608203|20|56|56|84|41|8
21150608204||||||
21150608501||||||
21150608601||||||
21150608801||||||
21150608802||||||
21150608804||||||
21150608901||||||
21150609001||||||
21150609101||||||
21150609201||||||
21150609401||||||
21150609402||||||
21150609502||||||
21150609503||||||
21150609601||||||
21150609701||||||
21150609901||||||
21150610001||||||
21150610101||||||
21150610302||||||
21150610303||||||
21150610401||||||
21150610501||||||
21150610701||||||
21150610801||||||
21150610901||||||
21150611001||||||
21150611002||||||
21150611004||||||
21150611101||||||
21150611201||||||
21150611301||||||
21150611601||||||
21150611801||||||
21150611901||||||
21150612001||||||
21150612202||||||
21150612301||||||
21150612801||||||
21150613001||||||
21150613201|20|40|0|84|30|0
21150613202||||||
21150613203||||||
21150613401||||||
21150613601||||||
21150613701||||||
21150613801||||||
21150614001||||||
21150614002||||||
21150614501||||||
21150614601||||||
21150614701|20|56|56|84|41|8
21150614702||||||
21150614801||||||
21150614803||||||
21150615101||||||
21150615301||||||
21150615403||||||
21150615501||||||
21150615601||||||
21150615801||||||
21150615901||||||
21150616003||||||
21150616101||||||
21150616401|20|52|32|84|34|58
21150616501|20|57|46|84|34|15
21150616701||||||
21150616901||||||
21150617002||||||
21150617102||||||
21150617202||||||
21150617401||||||
21150617501||||||
21150617601||||||
21150617701|20|59|10|84|32|1
21150617702||||||
21150617703|20|58|26|84|36|50
21150617704||||||
21150617705||||||
21150617706||||||
21150617707||||||
21150617901||||||
21150618001||||||
21150618101||||||
21150618301||||||
21150618401||||||
21150618402||||||
21150618501||||||
21150618502||||||
21150618552|0|0|0|0|0|0
21150618601||||||
21150618602||||||
21150618603|20|54|42|84|42|3
21150618701||||||
21150618801||||||
21150618902||||||
21150619001||||||
21150620101|21|20|9|84|10|1
21150620102||||||
21150620104||||||
21150620201||||||
21150620401||||||
21150620501||||||
21150620701||||||
21150621001||||||
21150621201||||||
21150621401||||||
21150621501|20|50|0|84|30|0
21150621502||||||
21150621701||||||
21150621801||||||
21150621901||||||
21150622001||||||
21150622101||||||
21150622201||||||
21150622501||||||
21150622601|20|52|45|84|29|45
21150622902||||||
21150623001|84|||20||
21150623101||||||
21150623401||||||
21150623501||||||
21150623601|20|54|0|84|36|0
21150623801||||||
21150623901|20|54||84|36|
21150624001||||||
21150624101||||||
21150624201|20|54||84|36|
21150624202||||||
21150624401||||||
21150624501||||||
21150624801||||||
21150700101|21|30|45|85|15|45
21150700102|21|30|45|85|15|48
21150700201|21|30|45|85|15|48
21150700301|21|30|45|85|15|48
21150700302|21|30|45|85|15|48
21150700601|21|30|45|85|15|48
21150700701||||||
21150700801|21|30|45|85|15|48
21150700901|21|30|45|85|15|48
21150701001||||||
21150701002||||||
21150701006||||||
21150701104||||||
21150701401||||||
21150701501||||||
21150701601||||||
21150701801||||||
21150701901||||||
21150702001||||||
21150702101||||||
21150702102||||||
21150702301||||||
21150702401||||||
21150702901||||||
21150703001||||||
21150703002||||||
21150703101||||||
21150703201||||||
21150703301||||||
21150703401||||||
21150703601||||||
21150703602||||||
21150703701|21|30|45|85|15|48
21150703702||||||
21150704002||||||
21150704101||||||
21150704201||||||
21150704301||||||
21150704402|21|16|0|85|12|0
21150704403||||||
21150704701|21|16|0|85|12|0
21150704801|21|16|0|85|12|0
21150704901|21|16|0|85|12|0
21150705101|21|16|0|85|12|0
21150705201||||||
21150705301||||||
21150705302||||||
21150705303||||||
21150705304||||||
21150705305||||||
21150705401||||||
21150705501||||||
21150705601||||||
21150705905||||||
21150706002||||||
21150706201|21|16|0|85|12|0
21150706301|21|25|34|85|13|59
21150706302||||||
21150706603||||||
21150706701||||||
21150706801||||||
21150706803|21|23|0|85|9|30
21150706901|21|16|0|85|12|0
21150707001||||||
21150707101|20|21||85||
21150707102||||||
21150707103||||||
21150707203||||||
21150707301||||||
21150707402||||||
21150707701||||||
21150707703||||||
21150707801||||||
21150707901||||||
21150708101||||||
21150708102||||||
21150708201||||||
21150708203|21|25|34|85|13|59
21150708301||||||
21150708303||||||
21150708401|21|25|34|85|13|59
21150708501||||||
21150708801||||||
21150708802||||||
21150709101|21|25|34|85|13|59
21150709201|21|30|45|85|15|48
21150709301||||||
21150709401||||||
21150709501|21|30|45|85|15|48
21150709502|21|30|45|85|15|48
21150709601|21|30|45|85|15|48
21150709602|21|30|45|85|15|48
21150709603|21|30|45|85|15|48
21150709604||||||
21150709701|21|30|45|85|15|48
21150709801||||||
21150709901|21|30|45|85|15|48
21150710001||||||
21150710101|21|30|45|85|15|48
21150710301||||||
21150710302||||||
21150710401||||||
21150710501||||||
21150710601||||||
21150710701||||||
21150710801||||||
21150710802||||||
21150710901||||||
21150711001||||||
21150711002|21|27|57|85|11|4
21150711101||||||
21150711201||||||
21150711401||||||
21150711402||||||
21150711601||||||
21150711602||||||
21150711801||||||
21150711901||||||
21150712001||||||
21150712002||||||
21150712003||||||
21150712101||||||
21150712201|21|30|45|85|15|48
21150712203|21|30|45|85|15|45
21150712401||||||
21150712501||||||
21150712601||||||
21150712701||||||
21150712901||||||
21150713001||||||
21150713401||||||
21150713501||||||
21150713601||||||
21150713602||||||
21150713701||||||
21150713801||||||
21150714001||||||
21150714101||||||
21150714301|21|30|15|85|15|48
21150714401|21|30|45|85|15|48
21150714501||||||
21150714601||||||
21150714602||||||
21150714603|21|30|45|85|15|48
21150714604|21|30|45|85|15|48
21150714901||||||
21150715001|21|30|48|85|15|45
21150715101||||||
21150715102|21|30|45|85|15|48
21150715103|21|30|45|85|15|48
21150715104||||||
21150715105|21|30|45|85|15|48
21150715201|21|30|45|85|15|48
21150715202|21|30|15|85|15|48
21150715301||||||
21150715401||||||
21150715601||||||
21150715701||||||
21150716001||||||
21150716002||||||
21150716003||||||
21150716101||||||
21150716202||||||
21150716301||||||
21150716401||||||
21150716501||||||
21150716551||||||
21150716601||||||
21150716701||||||
21150716901||||||
21150717102||||||
21150717201||||||
21150717401||||||
21150717501|21|25|45|85|15|48
21150717601||||||
21150717602||||||
21150717701||||||
21150717902||||||
21150718001||||||
21150718101||||||
21150718201||||||
21150718202||||||
21150718203|21|25|34|85|13|59
21150718204||||||
21150718205||||||
21150718206||||||
21150718255||||||
21150718401|21|25|34|85|13|59
21150718601||||||
21150718701||||||
21150718801||||||
21150719001||||||
21150719201||||||
21150719301||||||
21150719403||||||0
21150719502||||||
21150719802||||||
21150719901||||||
21150720201||||||
21150720202||||||
21150720301||||||
21150720302||||||
21150720401||||||
21150720501||||||
21150720502||||||
21150720601||||||
21150720702||||||
21150720802||||||
21150720902||||||
21150721002||||||
21150721102||||||
21150721301||||||
21150721601||||||
21150721701|21|30|45|85|15|48
21150721801|21|30|45|85|15|48
21150722002|21|30|45|85|15|48
21150722101|21|30|45|85|15|48
21150722202|21|30|45|85|15|48
21150722203|21|30|45|85|15|48
21150722301|21|30|45|85|15|48
21150722401||||||
21150722501||||||
21150722601||||||
21150722701||||||
21150722902||||||
21150723001||||||
21150723101||||||
21150723201||||||
21150723401||||||
21150723402||||||
21150723501||||||
21150723602||||||
21150723701||||||
21150723801||||||
21150724001||||||
21150724301||||||
21150724501||||||
21150724502||||||
21150724601||||||
21150724701||||||
21150724901|21|15|59|85|11|10
21150725002||||||
21150725101||||||
21150725201||||||
21150725401||||||
21150725601||||||
21150725801||||||
21150725802||||||
21150725901||||||
21150725902||||||
21150725903||||||
21150725904||||||
21150726201||||||
21150726301||||||
21150726401||||||
21150726601||||||
21150726701|21|28|12|85|12|15
21150726702||||||
21150726801||||||
21150726901||||||
21150727101||||||
21150727201|21|23|43|85|12|44
21150727501|21|30|45|85|15|45
21150727602||||||
21150800101||||||
21150800102||||||
21150800201||||||
21150801201||||||
21150801301||||||
21150801401||||||
21150801702||||||
21150802001||||||
21150802101||||||
21150802301||||||
21150802701||||||
21150802801||||||
21150802901||||||
21150803501||||||
21150803502||||||
21150803503||||||
21150803504||||||
21150803701||||||
21150804101||||||
21150804301||||||
21150804601||||||
21150804602||||||
21150804603||||||
21150805301||||||
21150805501||||||
21150805601||||||
21150805801||||||
21150806101||||||
21150806401||||||
21150806402||||||
21150806403||||||
21150806404||||||
21150806406||||||
21150806407||||||
21150806601||||||
21150806701||||||
21150806702||||||
21150806703||||||
21150806704||||||
21150806801||||||
21150807201||||||
21150807401||||||
21150807501||||||
21150807601||||||
21150807602||||||
21150807801||||||
21150807901||||||
21150808301||||||
21150808302||||||
21150808303||||||
21150808304||||||
21150808305||||||
21150808401||||||
21150808601||||||
21150808701||||||
21150808901||||||
21150809001||||||
21150809101||||||
21150809201||||||
21150809202||||||
21150809401||||||
21150809402||||||
21150809801||||||
21150810001||||||
21150810101||||||
21150810102||||||
21150810103||||||
21150810701||||||
21150810702||||||
21150811001||||||
21150811002||||||
21150811003||||||
21150811004||||||
21150811301||||||
21150811801||||||
21150811802||||||
21150812001||||||
21150812401||||||
21150812701||||||
21150813601||||||
21150813602||||||
21150813603||||||
21150813801||||||
21150813901||||||
21150814401||||||
21150815204||||||
21150815303||||||
21150815304||||||
21150815305||||||
21150815306||||||
21150815701||||||
21150816001||||||
21150816101||||||
21150816201||||||
21150816301||||||
21150816302||||||
21150816502||||||
21150816504||||||
21150816505||||||
21150816601||||||
21150817001||||||
21150817502||||||
21150817601||||||
21150817701||||||
21150817801||||||
21150818201||||||
21150818401||||||
21150818701||||||
21150818801||||||
21150818802||||||
21150818803||||||
